Model: assemblyai/bert-large-uncased-sst2  Arch: bert  Layers: 24
Magnitude bins: 13 bins from 1e-08 to 1e+05

Probe: input_ids (Input IDs)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      8,827,568,128     0.000     0.044     0.000  |   0.00    0.00    0.01    0.05    0.50    5.02   46.32   48.06    0.04    0.00    0.00    0.00    0.00
  L1      8,827,568,128     0.000     0.440     0.000  |   0.00    0.00    0.01    0.06    0.64    6.39   52.69   39.76    0.44    0.00    0.00    0.00    0.00
  L2      8,827,568,128     0.000     0.111     0.000  |   0.00    0.00    0.01    0.06    0.59    5.88   50.69   42.66    0.11    0.00    0.00    0.00    0.00
  L3      8,827,568,128     0.000     0.146     0.000  |   0.00    0.00    0.01    0.07    0.69    6.88   56.98   35.23    0.15    0.00    0.00    0.00    0.00
  L4      8,827,568,128     0.000     0.053     0.000  |   0.00    0.00    0.01    0.07    0.67    6.65   56.06   36.49    0.05    0.00    0.00    0.00    0.00
  L5      8,827,568,128     0.000     0.015     0.000  |   0.00    0.00    0.01    0.08    0.83    8.30   64.54   26.22    0.01    0.00    0.00    0.00    0.00
  L6      8,827,568,128     0.000     0.019     0.000  |   0.00    0.00    0.01    0.08    0.78    7.83   62.28   29.00    0.02    0.00    0.00    0.00    0.00
  L7      8,827,568,128     0.000     0.030     0.000  |   0.00    0.00    0.01    0.06    0.60    5.97   52.70   40.64    0.03    0.00    0.00    0.00    0.00
  L8      8,827,568,128     0.000     0.025     0.000  |   0.00    0.00    0.01    0.05    0.52    5.24   47.52   46.63    0.03    0.00    0.00    0.00    0.00
  L9      8,827,568,128     0.000     0.329     0.000  |   0.00    0.00    0.00    0.05    0.45    4.50   40.98   53.69    0.33    0.00    0.00    0.00    0.00
  L10     8,827,568,128     0.000     0.489     0.000  |   0.00    0.00    0.00    0.05    0.50    4.94   41.65   52.37    0.49    0.00    0.00    0.00    0.00
  L11     8,827,568,128     0.000     3.029     0.000  |   0.00    0.00    0.00    0.03    0.33    3.31   28.55   64.75    3.03    0.00    0.00    0.00    0.00
  L12     8,827,568,128     0.000     3.337     0.000  |   0.00    0.00    0.00    0.03    0.31    3.12   25.98   67.21    3.34    0.00    0.00    0.00    0.00
  L13     8,827,568,128     0.000     0.149     0.000  |   0.00    0.00    0.02    0.16    1.58   15.55   71.07   11.48    0.15    0.00    0.00    0.00    0.00
  L14     8,827,568,128     0.000     0.389     0.000  |   0.00    0.00    0.01    0.10    1.01   10.02   60.59   27.87    0.39    0.00    0.00    0.00    0.00
  L15     8,827,568,128     0.000     0.980     0.000  |   0.00    0.00    0.01    0.05    0.52    5.19   38.82   54.43    0.98    0.00    0.00    0.00    0.00
