Dataset: MRPC
Eval split: validation_full
Repeats per point: 5
Fixed approximation: GELU degree 4, Softmax degree 6 on all layers
Base x/W noise mode: max
Scanned noise distribution: fresh
Scaling factors: [10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48]
Metric names: ['Acc.', 'F1']

Best points:
Lowest loss: softmax_sf=36, v_sf=18, loss_mean=0.328703, loss_variance=0.000066
Highest m1: softmax_sf=24, v_sf=32, m1_mean=0.880882, m1_variance=0.000090
Highest m2: softmax_sf=48, v_sf=46, m2_mean=0.878885, m2_variance=0.000014

Grid records:
softmax_sf	v_sf	loss_mean	loss_variance	loss_std	m1_mean	m1_variance	m1_std	m2_mean	m2_variance	m2_std
12	42	0.98401150	0.00138583	0.03722667	0.46666667	0.00082564	0.02873402	0.48245861	0.00076777	0.02770875
12	44	0.95996891	0.00131118	0.03621018	0.48382353	0.00029460	0.01716386	0.49849337	0.00031668	0.01779559
12	46	0.97965802	0.00126465	0.03556194	0.46617647	0.00050557	0.02248499	0.48135497	0.00057542	0.02398798
12	48	0.95641565	0.00090953	0.03015849	0.47843137	0.00060409	0.02457834	0.49478753	0.00058836	0.02425611
14	10	0.82947265	0.00043341	0.02081861	0.46470588	0.00045800	0.02140086	0.47612710	0.00046956	0.02166941
14	12	0.81506466	0.00011547	0.01074551	0.46813725	0.00055748	0.02361097	0.48105020	0.00049692	0.02229162
14	14	0.83494745	0.00024423	0.01562789	0.46568627	0.00029316	0.01712181	0.47660588	0.00034102	0.01846678
14	16	0.89029559	0.00055553	0.02356960	0.49117647	0.00041474	0.02036527	0.50708111	0.00042715	0.02066761
14	18	0.94099176	0.00067008	0.02588589	0.47794118	0.00059112	0.02431293	0.49466930	0.00056233	0.02371346
14	20	0.94904349	0.00087575	0.02959311	0.49019608	0.00017061	0.01306168	0.50723715	0.00016119	0.01269600
14	22	0.97452449	0.00083045	0.02881758	0.46666667	0.00048923	0.02211866	0.48225822	0.00052947	0.02301023
14	24	0.94162083	0.00082401	0.02870560	0.50294118	0.00015235	0.01234282	0.51848654	0.00016264	0.01275304
14	26	0.97075919	0.00136135	0.03689653	0.47156863	0.00069589	0.02637965	0.48821968	0.00069231	0.02631180
14	28	0.97772889	0.00059726	0.02443891	0.48039216	0.00026192	0.01618390	0.49616541	0.00026965	0.01642090
14	30	0.94914752	0.00008420	0.00917587	0.49068627	0.00031574	0.01776919	0.50674821	0.00029036	0.01703984
14	32	0.96625077	0.00025005	0.01581304	0.46568627	0.00031238	0.01767427	0.48263609	0.00031057	0.01762302
14	34	0.96315903	0.00070331	0.02652008	0.48431373	0.00041955	0.02048292	0.50039912	0.00039552	0.01988758
14	36	0.97139774	0.00062977	0.02509516	0.47205882	0.00042436	0.02059990	0.48837915	0.00043099	0.02076039
14	38	0.95789509	0.00025425	0.01594528	0.48774510	0.00006728	0.00820255	0.50465150	0.00005912	0.00768880
14	40	0.98169847	0.00080594	0.02838908	0.47549020	0.00055748	0.02361097	0.49065727	0.00055812	0.02362461
14	42	0.97003997	0.00223550	0.04728106	0.47598039	0.00038303	0.01957104	0.49122831	0.00041824	0.02045102
14	44	0.97379229	0.00047881	0.02188182	0.46764706	0.00025807	0.01606468	0.48422819	0.00026298	0.01621662
14	46	0.93567078	0.00049140	0.02216750	0.49607843	0.00062860	0.02507198	0.51225632	0.00059802	0.02445435
14	48	0.97114159	0.00162089	0.04026026	0.47549020	0.00071367	0.02671456	0.49166448	0.00070623	0.02657491
16	10	0.82565400	0.00099506	0.03154455	0.46323529	0.00036765	0.01917412	0.47401661	0.00042712	0.02066686
16	12	0.81069242	0.00021167	0.01454884	0.47794118	0.00031959	0.01787704	0.49073031	0.00033757	0.01837300
16	14	0.83717341	0.00040310	0.02007738	0.47205882	0.00054931	0.02343732	0.48527189	0.00054692	0.02338633
16	16	0.89069050	0.00073349	0.02708309	0.50000000	0.00021626	0.01470588	0.51603338	0.00021343	0.01460939
16	18	0.94005466	0.00070999	0.02664567	0.49411765	0.00017445	0.01320803	0.51169316	0.00016298	0.01276640
16	20	0.92077098	0.00171232	0.04138016	0.50049020	0.00096934	0.03113420	0.51702917	0.00094523	0.03074466
16	22	0.94591183	0.00103562	0.03218099	0.49705882	0.00040465	0.02011597	0.51451545	0.00037928	0.01947503
16	24	0.95890763	0.00126369	0.03554846	0.48823529	0.00045992	0.02144573	0.50586134	0.00043095	0.02075938
16	26	0.92798440	0.00083321	0.02886546	0.51764706	0.00010188	0.01009376	0.53404600	0.00009703	0.00985045
16	28	0.96136343	0.00030404	0.01743664	0.48039216	0.00030757	0.01753779	0.49846466	0.00028578	0.01690491
16	30	0.93833237	0.00307595	0.05546123	0.49656863	0.00102509	0.03201697	0.51357944	0.00098611	0.03140242
16	32	0.93288673	0.00049346	0.02221402	0.50490196	0.00042772	0.02068140	0.52198029	0.00040024	0.02000588
16	34	0.96838264	0.00282314	0.05313321	0.48627451	0.00181805	0.04263861	0.50372326	0.00172055	0.04147954
16	36	0.96553804	0.00125100	0.03536952	0.48676471	0.00052528	0.02291896	0.50419323	0.00048788	0.02208790
16	38	0.92152495	0.00102897	0.03207749	0.50980392	0.00033881	0.01840685	0.52645853	0.00031215	0.01766775
16	40	0.92242831	0.00111242	0.03335297	0.50784314	0.00053201	0.02306528	0.52421979	0.00047673	0.02183408
16	42	0.94678518	0.00138210	0.03717663	0.50931373	0.00078191	0.02796267	0.52615485	0.00073721	0.02715165
16	44	0.96434516	0.00120492	0.03471202	0.49117647	0.00074154	0.02723126	0.50854309	0.00069456	0.02635456
16	46	0.97121563	0.00117028	0.03420936	0.49068627	0.00090686	0.03011416	0.50734377	0.00083404	0.02887968
16	48	0.95073521	0.00217070	0.04659074	0.49656863	0.00077518	0.02784210	0.51319338	0.00073814	0.02716880
18	10	0.81230255	0.00018664	0.01366170	0.46568627	0.00067282	0.02593874	0.47843388	0.00076385	0.02763789
18	12	0.80926060	0.00030350	0.01742118	0.47892157	0.00030902	0.01757884	0.49381390	0.00032080	0.01791083
18	14	0.80116180	0.00012126	0.01101183	0.49803922	0.00033977	0.01843294	0.51536960	0.00031433	0.01772931
18	16	0.90430916	0.00110652	0.03326434	0.48235294	0.00018599	0.01363767	0.49777236	0.00019211	0.01386022
18	18	0.99115341	0.00044075	0.02099394	0.46960784	0.00019848	0.01408834	0.48318952	0.00015561	0.01247428
18	20	1.00857966	0.00136462	0.03694080	0.44950980	0.00042916	0.02071622	0.46120331	0.00041228	0.02030472
18	22	0.98851251	0.00217145	0.04659883	0.47009804	0.00075308	0.02744223	0.48259458	0.00077313	0.02780525
18	24	0.98924726	0.00123259	0.03510832	0.48431373	0.00049644	0.02228102	0.49799210	0.00055062	0.02346523
18	26	1.01343197	0.00033012	0.01816910	0.45882353	0.00014273	0.01194712	0.47253381	0.00019776	0.01406268
18	28	0.97305342	0.00161378	0.04017185	0.47696078	0.00076557	0.02766895	0.49225796	0.00075697	0.02751311
18	30	1.00352680	0.00185958	0.04312289	0.45980392	0.00033545	0.01831524	0.47326935	0.00031174	0.01765616
18	32	0.98976320	0.00233708	0.04834331	0.47107843	0.00155565	0.03944175	0.48396154	0.00160588	0.04007338
18	34	1.02020790	0.00226681	0.04761107	0.45098039	0.00079537	0.02820225	0.46463721	0.00067525	0.02598554
18	36	1.01282342	0.00128213	0.03580686	0.45931373	0.00071030	0.02665152	0.47224076	0.00077552	0.02784816
18	38	0.99654170	0.00031466	0.01773857	0.46862745	0.00016917	0.01300637	0.48352251	0.00015847	0.01258850
18	40	0.96863895	0.00054673	0.02338230	0.49607843	0.00006872	0.00828997	0.50955307	0.00008468	0.00920243
18	42	0.96596000	0.00003051	0.00552387	0.47303922	0.00016100	0.01268841	0.48700645	0.00018173	0.01348084
18	44	0.99003120	0.00058728	0.02423387	0.46323529	0.00054546	0.02335516	0.47887172	0.00055204	0.02349557
18	46	0.97089632	0.00042263	0.02055806	0.49068627	0.00004662	0.00682764	0.50649274	0.00004968	0.00704832
18	48	1.01884677	0.00086984	0.02949308	0.44411765	0.00058007	0.02408455	0.45860320	0.00055958	0.02365543
20	10	0.81997497	0.00030734	0.01753104	0.46911765	0.00031622	0.01778270	0.48499391	0.00032643	0.01806748
20	12	0.77819409	0.00070940	0.02663464	0.50441176	0.00024606	0.01568627	0.52137662	0.00024233	0.01556707
20	14	0.93122472	0.00053536	0.02313787	0.39313725	0.00036669	0.01914904	0.37319667	0.00046545	0.02157426
20	16	0.86995045	0.00059725	0.02443872	0.50000000	0.00070406	0.02653406	0.49214141	0.00089852	0.02997533
20	18	0.50734949	0.00006468	0.00804224	0.76323529	0.00011678	0.01080657	0.76661145	0.00010873	0.01042730
20	20	0.48180657	0.00020247	0.01422926	0.78235294	0.00014033	0.01184612	0.78398374	0.00013658	0.01168683
20	22	0.48678054	0.00064597	0.02541592	0.77352941	0.00032824	0.01811737	0.77526224	0.00031217	0.01766825
20	24	0.48805553	0.00094831	0.03079467	0.78382353	0.00074346	0.02726654	0.78596320	0.00078239	0.02797116
20	26	0.48040635	0.00059701	0.02443383	0.78235294	0.00014033	0.01184612	0.78276561	0.00013521	0.01162817
20	28	0.49250903	0.00070547	0.02656074	0.77794118	0.00003508	0.00592306	0.77981256	0.00003663	0.00605254
20	30	0.49017392	0.00064564	0.02540949	0.77401961	0.00029171	0.01707966	0.77538824	0.00028292	0.01682014
20	32	0.46545594	0.00108600	0.03295453	0.78333333	0.00012880	0.01134886	0.78505970	0.00013710	0.01170890
20	34	0.48932176	0.00053939	0.02322475	0.76519608	0.00010188	0.01009376	0.76761804	0.00009445	0.00971846
20	36	0.52639041	0.00100803	0.03174955	0.75000000	0.00014658	0.01210695	0.75228529	0.00013915	0.01179606
20	38	0.49824934	0.00032266	0.01796267	0.77058824	0.00009275	0.00963082	0.77263320	0.00009303	0.00964514
20	40	0.47966157	0.00056098	0.02368507	0.78088235	0.00027297	0.01652186	0.78225861	0.00029914	0.01729564
20	42	0.50292827	0.00119630	0.03458761	0.76813725	0.00045800	0.02140086	0.76977811	0.00039681	0.01992006
20	44	0.49227457	0.00116251	0.03409564	0.77401961	0.00015955	0.01263147	0.77639298	0.00018142	0.01346916
20	46	0.49845180	0.00070178	0.02649104	0.76323529	0.00003268	0.00571662	0.76377868	0.00003250	0.00570061
20	48	0.48216307	0.00118087	0.03436384	0.76617647	0.00055171	0.02348853	0.76710440	0.00049731	0.02230050
22	10	0.79401550	0.00019458	0.01394930	0.48235294	0.00018599	0.01363767	0.49877598	0.00018983	0.01377774
22	12	0.78944193	0.00031713	0.01780807	0.50098039	0.00048443	0.02200975	0.51811284	0.00045807	0.02140263
22	14	1.19543216	0.00116639	0.03415252	0.35196078	0.00053489	0.02312770	0.28676018	0.00096680	0.03109336
22	16	0.41354672	0.00029863	0.01728083	0.81176471	0.00029652	0.01721977	0.81374654	0.00029072	0.01705058
22	18	0.33424262	0.00009902	0.00995065	0.86911765	0.00009516	0.00975478	0.86634743	0.00010191	0.01009513
22	20	0.34101073	0.00022946	0.01514796	0.86764706	0.00004566	0.00675689	0.86473312	0.00004850	0.00696440
22	22	0.35233214	0.00012119	0.01100872	0.86078431	0.00007785	0.00882353	0.85802952	0.00008527	0.00923391
22	24	0.35199859	0.00010096	0.01004806	0.86519608	0.00005527	0.00743419	0.86221281	0.00005666	0.00752711
22	26	0.35093484	0.00007237	0.00850677	0.86225490	0.00005863	0.00765711	0.85918998	0.00007672	0.00875877
22	28	0.34714514	0.00011348	0.01065276	0.87156863	0.00005190	0.00720438	0.86936059	0.00005656	0.00752094
22	30	0.34363550	0.00009214	0.00959918	0.87205882	0.00002980	0.00545859	0.86987883	0.00003460	0.00588175
22	32	0.35602689	0.00024881	0.01577378	0.86617647	0.00006872	0.00828997	0.86316526	0.00007818	0.00884201
22	34	0.34746828	0.00018850	0.01372948	0.86617647	0.00003989	0.00631573	0.86383626	0.00004624	0.00680001
22	36	0.35104153	0.00014071	0.01186221	0.86127451	0.00006632	0.00814375	0.85835689	0.00006455	0.00803405
22	38	0.34173759	0.00006194	0.00787011	0.87352941	0.00000384	0.00196078	0.87075827	0.00000444	0.00210699
22	40	0.35116678	0.00013903	0.01179101	0.86470588	0.00005863	0.00765711	0.86207900	0.00006883	0.00829641
22	42	0.35676348	0.00003497	0.00591381	0.87058824	0.00001778	0.00421683	0.86795699	0.00002000	0.00447164
22	44	0.34763163	0.00004736	0.00688185	0.86862745	0.00005671	0.00753054	0.86604282	0.00005707	0.00755428
22	46	0.35233809	0.00004434	0.00665848	0.86568627	0.00003220	0.00567443	0.86288794	0.00003577	0.00598058
22	48	0.34639692	0.00018952	0.01376652	0.86372549	0.00003508	0.00592306	0.86072926	0.00003991	0.00631771
24	10	0.78784697	0.00034624	0.01860752	0.48921569	0.00025135	0.01585388	0.50663729	0.00023538	0.01534221
24	12	0.80239346	0.00028423	0.01685918	0.47990196	0.00025807	0.01606468	0.49600749	0.00023212	0.01523533
24	14	1.13741567	0.00086709	0.02944638	0.38578431	0.00012880	0.01134886	0.34177392	0.00030603	0.01749371
24	16	0.40381961	0.00035385	0.01881099	0.82598039	0.00007930	0.00890485	0.82648850	0.00008168	0.00903795
24	18	0.33118981	0.00013051	0.01142421	0.87500000	0.00006968	0.00834774	0.87283239	0.00007234	0.00850526
24	20	0.34222082	0.00005416	0.00735901	0.87058824	0.00000817	0.00285831	0.86759892	0.00000932	0.00305345
24	22	0.33361412	0.00013491	0.01161498	0.87647059	0.00006632	0.00814375	0.87377648	0.00006626	0.00813978
24	24	0.33440326	0.00003796	0.00616131	0.87549020	0.00001298	0.00360219	0.87330181	0.00001364	0.00369353
24	26	0.34599289	0.00002952	0.00543284	0.87058824	0.00003220	0.00567443	0.86804124	0.00003260	0.00570963
24	28	0.34241606	0.00004682	0.00684259	0.87500000	0.00010333	0.01016492	0.87250987	0.00010547	0.01026975
24	30	0.34365954	0.00001511	0.00388706	0.87500000	0.00003124	0.00558910	0.87250672	0.00003104	0.00557123
24	32	0.33960534	0.00008634	0.00929197	0.88088235	0.00009035	0.00950525	0.87843760	0.00009429	0.00971024
24	34	0.34473294	0.00017326	0.01316296	0.87156863	0.00009275	0.00963082	0.86898163	0.00009328	0.00965798
24	36	0.34570752	0.00005728	0.00756868	0.87009804	0.00002643	0.00514122	0.86790627	0.00003021	0.00549617
24	38	0.34122808	0.00006311	0.00794401	0.87549020	0.00000817	0.00285831	0.87303744	0.00000926	0.00304327
24	40	0.33734500	0.00010949	0.01046352	0.87205882	0.00001538	0.00392157	0.86936579	0.00001530	0.00391164
24	42	0.33930313	0.00004355	0.00659897	0.87303922	0.00001778	0.00421683	0.87036443	0.00001832	0.00428055
24	44	0.34042448	0.00002712	0.00520755	0.87647059	0.00000384	0.00196078	0.87369632	0.00000426	0.00206387
24	46	0.33413401	0.00006844	0.00827307	0.87401961	0.00004469	0.00668538	0.87176180	0.00004914	0.00701035
24	48	0.34469951	0.00005046	0.00710366	0.87549020	0.00003220	0.00567443	0.87289121	0.00003588	0.00599027
26	10	0.78631396	0.00068572	0.02618633	0.49754902	0.00168205	0.04101275	0.51457343	0.00158533	0.03981620
26	12	0.80159827	0.00040468	0.02011658	0.50196078	0.00044070	0.02099276	0.51760835	0.00043293	0.02080704
26	14	1.16321677	0.00118420	0.03441225	0.38284314	0.00047914	0.02188933	0.33689769	0.00061533	0.02480586
26	16	0.40070875	0.00008022	0.00895661	0.81715686	0.00009035	0.00950525	0.81774272	0.00009260	0.00962276
26	18	0.34108164	0.00007141	0.00845042	0.87107843	0.00005431	0.00736926	0.86896537	0.00006114	0.00781929
26	20	0.34001153	0.00002858	0.00534561	0.87009804	0.00009131	0.00955568	0.86739524	0.00010324	0.01016071
26	22	0.34414889	0.00004687	0.00684640	0.87401961	0.00003989	0.00631573	0.87155865	0.00004469	0.00668530
26	24	0.33985376	0.00042655	0.02065319	0.87107843	0.00013120	0.01145424	0.86881233	0.00012667	0.01125469
26	26	0.34270006	0.00007411	0.00860860	0.87450980	0.00011870	0.01089515	0.87173210	0.00012855	0.01133808
26	28	0.34415228	0.00003640	0.00603302	0.87647059	0.00002547	0.00504688	0.87390034	0.00002598	0.00509659
26	30	0.33895092	0.00012464	0.01116440	0.87401961	0.00003508	0.00592306	0.87142401	0.00003935	0.00627291
26	32	0.34167812	0.00006266	0.00791607	0.87647059	0.00006392	0.00799486	0.87416549	0.00006470	0.00804391
26	34	0.34079825	0.00000959	0.00309717	0.87009804	0.00000240	0.00155014	0.86706665	0.00000333	0.00182486
26	36	0.34520937	0.00002934	0.00541649	0.86764706	0.00000721	0.00268491	0.86467078	0.00000874	0.00295554
26	38	0.34053293	0.00003513	0.00592707	0.87303922	0.00001298	0.00360219	0.87049320	0.00001586	0.00398300
26	40	0.33765795	0.00002372	0.00487072	0.87058824	0.00002980	0.00545859	0.86787716	0.00003427	0.00585425
26	42	0.34756826	0.00008766	0.00936283	0.86715686	0.00002980	0.00545859	0.86413498	0.00002782	0.00527404
26	44	0.34739231	0.00015852	0.01259047	0.86911765	0.00005431	0.00736926	0.86596676	0.00006270	0.00791857
26	46	0.34303580	0.00006386	0.00799143	0.87156863	0.00003749	0.00612255	0.86911359	0.00003667	0.00605591
26	48	0.33916486	0.00003568	0.00597360	0.87205882	0.00003941	0.00627757	0.86936137	0.00004174	0.00646088
28	10	0.78854457	0.00030922	0.01758473	0.49656863	0.00060217	0.02453920	0.51383359	0.00056680	0.02380759
28	12	0.79829491	0.00029289	0.01711393	0.48676471	0.00040273	0.02006813	0.50298553	0.00041420	0.02035181
28	14	1.13776415	0.00024052	0.01550880	0.39362745	0.00009035	0.00950525	0.35294098	0.00007430	0.00861994
28	16	0.38584539	0.00009550	0.00977237	0.81960784	0.00008554	0.00924900	0.82017254	0.00008735	0.00934609
28	18	0.34387116	0.00005439	0.00737463	0.86911765	0.00002547	0.00504688	0.86692802	0.00002310	0.00480633
28	20	0.34456405	0.00010315	0.01015643	0.87745098	0.00011774	0.01085095	0.87537841	0.00011958	0.01093513
28	22	0.33391024	0.00002348	0.00484552	0.87303922	0.00001538	0.00392157	0.87028851	0.00001691	0.00411199
28	24	0.34237758	0.00015862	0.01259437	0.87107843	0.00009756	0.00987718	0.86834831	0.00010528	0.01026059
28	26	0.33844978	0.00011917	0.01091657	0.86911765	0.00007834	0.00885072	0.86605658	0.00008017	0.00895397
28	28	0.33969576	0.00005063	0.00711570	0.87156863	0.00003508	0.00592306	0.86904139	0.00003618	0.00601528
28	30	0.34062340	0.00003124	0.00558901	0.87401961	0.00002067	0.00454589	0.87126847	0.00002608	0.00510724
28	32	0.33704008	0.00006463	0.00803904	0.87647059	0.00003749	0.00612255	0.87386350	0.00004549	0.00674460
28	34	0.34002484	0.00005231	0.00723251	0.87401961	0.00002067	0.00454589	0.87153576	0.00002735	0.00523008
28	36	0.33753784	0.00002937	0.00541986	0.87058824	0.00003700	0.00608317	0.86788582	0.00004109	0.00640981
28	38	0.34224065	0.00003750	0.00612353	0.87009804	0.00005527	0.00743419	0.86777076	0.00006115	0.00781974
28	40	0.33997963	0.00009806	0.00990242	0.87647059	0.00005431	0.00736926	0.87397142	0.00005702	0.00755124
28	42	0.34832453	0.00003636	0.00603020	0.86764706	0.00001442	0.00379704	0.86517669	0.00001557	0.00394605
28	44	0.34273014	0.00004941	0.00702930	0.87303922	0.00000817	0.00285831	0.87014468	0.00000906	0.00301026
28	46	0.33622936	0.00006948	0.00833521	0.87107843	0.00001586	0.00398237	0.86827997	0.00001885	0.00434195
28	48	0.33908367	0.00001794	0.00423610	0.87696078	0.00007065	0.00840511	0.87412859	0.00007930	0.00890517
30	10	0.79244113	0.00031135	0.01764513	0.48235294	0.00045271	0.02127699	0.50027294	0.00041495	0.02037044
30	12	0.82240190	0.00033579	0.01832469	0.48284314	0.00058872	0.02426347	0.49934172	0.00057133	0.02390259
30	14	1.12214920	0.00059388	0.02436975	0.38725490	0.00019944	0.01412241	0.33879785	0.00054322	0.02330708
30	16	0.39826688	0.00009293	0.00963976	0.81911765	0.00036380	0.01907360	0.81967371	0.00035223	0.01876785
30	18	0.34647980	0.00003356	0.00579275	0.87254902	0.00005046	0.00710362	0.86996637	0.00005111	0.00714935
30	20	0.34138354	0.00005893	0.00767681	0.86960784	0.00001298	0.00360219	0.86717046	0.00001512	0.00388896
30	22	0.34012087	0.00002118	0.00460165	0.87450980	0.00001298	0.00360219	0.87216066	0.00001626	0.00403202
30	24	0.34422379	0.00005644	0.00751265	0.86911765	0.00003268	0.00571662	0.86602939	0.00004031	0.00634933
30	26	0.34165538	0.00010213	0.01010607	0.86813725	0.00008987	0.00947994	0.86509599	0.00010026	0.01001275
30	28	0.34228686	0.00006787	0.00823813	0.87058824	0.00006103	0.00781244	0.86766331	0.00006806	0.00825004
30	30	0.33717316	0.00002520	0.00501972	0.87549020	0.00003700	0.00608317	0.87322307	0.00004089	0.00639447
30	32	0.34413855	0.00003775	0.00614388	0.86715686	0.00005142	0.00717095	0.86464607	0.00005466	0.00739304
30	34	0.33872443	0.00000604	0.00245697	0.87205882	0.00001778	0.00421683	0.86915605	0.00001724	0.00415261
30	36	0.33911221	0.00008213	0.00906268	0.87647059	0.00004229	0.00650319	0.87402818	0.00004677	0.00683904
30	38	0.34020617	0.00003190	0.00564819	0.87107843	0.00001826	0.00427343	0.86793071	0.00001603	0.00400433
30	40	0.34141913	0.00003751	0.00612493	0.87156863	0.00005911	0.00768843	0.86883764	0.00005912	0.00768894
30	42	0.34178618	0.00000269	0.00163985	0.87450980	0.00013312	0.01153785	0.87162037	0.00014013	0.01183782
30	44	0.34597160	0.00001499	0.00387106	0.87156863	0.00000865	0.00294118	0.86943780	0.00000957	0.00309280
30	46	0.33727858	0.00007345	0.00857020	0.87156863	0.00002067	0.00454589	0.86929870	0.00002346	0.00484342
30	48	0.34027124	0.00003553	0.00596110	0.87352941	0.00000384	0.00196078	0.87074252	0.00000542	0.00232877
32	10	0.79334576	0.00056730	0.02381797	0.49509804	0.00023308	0.01526707	0.51214391	0.00022930	0.01514279
32	12	0.81233078	0.00016685	0.01291696	0.48578431	0.00041186	0.02029435	0.50060242	0.00039354	0.01983790
32	14	1.16871221	0.00031047	0.01762020	0.37009804	0.00001201	0.00346621	0.31905853	0.00007007	0.00837065
32	16	0.39927870	0.00033509	0.01830544	0.82843137	0.00027153	0.01647817	0.82875065	0.00027810	0.01667639
32	18	0.34547952	0.00007271	0.00852691	0.87156863	0.00003028	0.00550244	0.86992116	0.00002851	0.00533982
32	20	0.33843194	0.00000738	0.00271723	0.86960784	0.00003700	0.00608317	0.86710292	0.00004061	0.00637229
32	22	0.34139682	0.00004068	0.00637783	0.87107843	0.00000865	0.00294118	0.86798347	0.00001105	0.00332349
32	24	0.33873763	0.00017369	0.01317926	0.87500000	0.00003604	0.00600365	0.87276804	0.00003896	0.00624149
