episode,total_episodes,ppo_update_count,rollout_reward_mean,rollout_reward_max,rollout_reward_min,rollout_metric1_mean,rollout_metric2_mean,rollout_metric1_min,rollout_metric2_min,rollout_loss_mean,rollout_loss_std_mean,rollout_loss_max,best_reward,priority1_count,priority2_count,priority3_count,invalid_count,apply_error_count,eval_error_count,last_error,anchor_count,cost_probe_count,policy_loss,value_loss,entropy,clip_fraction,n_samples
1320,80000,11,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L10: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.; ... (+4 more),0,0,-0.04783107643015683,782.472526550293,1070.4188537597656,0.04268973437137902,120
1440,80000,12,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L4: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L8: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+10 more),0,0,-0.031047678203321993,768.9081802368164,1070.267593383789,0.07700893096625805,120
1560,80000,13,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L8: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L2: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; ... (+5 more),0,0,-0.02507587638683617,753.1490631103516,1070.4286346435547,0.06277901888825,120
1680,80000,14,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L10: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L4: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; ... (+5 more),0,0,-0.04379716934636235,735.6186981201172,1070.8807373046875,0.08063616324216127,120
1800,80000,15,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L10: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+10 more),0,0,-0.0452567373868078,717.320930480957,1071.4408111572266,0.09905134327709675,120
1920,80000,16,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L4: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L9: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.; block3_exp_n6_L10: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.; ... (+5 more),0,0,-0.03438510780688375,697.7225341796875,1072.1895904541016,0.1132812537252903,120
2040,80000,17,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L4: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L8: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; block3_exp_n5_L9: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; ... (+5 more),0,0,-0.03596170945093036,676.4712677001953,1072.9339904785156,0.1266741119325161,120
2160,80000,18,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L10: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L4: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L8: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+7 more),0,0,-0.04913749231491238,654.0922622680664,1073.6119689941406,0.1392299123108387,120
2280,80000,19,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L8: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+12 more),0,0,-0.05316379285068251,630.8483657836914,1074.2236022949219,0.17940848413854837,120
2400,80000,20,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L10: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L4: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; ... (+6 more),0,0,-0.044986996217630804,606.6427688598633,1075.0535583496094,0.18610491324216127,120
2520,80000,21,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+9 more),0,0,-0.05620201560668647,581.5192184448242,1076.1415405273438,0.16852678963914514,120
2640,80000,22,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L3: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; block3_exp_n5_L4: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; ... (+9 more),0,0,-0.053905991779174656,555.8752212524414,1077.2516479492188,0.19949777610599995,120
2760,80000,23,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L4: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.; ... (+5 more),0,0,-0.04702183837071061,529.2376937866211,1078.5528717041016,0.19168527144938707,120
2880,80000,24,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L8: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L2: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; ... (+7 more),0,0,-0.05493041197769344,501.60330963134766,1079.5648345947266,0.2617187611758709,120
3000,80000,25,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+6 more),0,0,-0.05377499619498849,473.24084091186523,1080.6738891601562,0.19949777610599995,120
3120,80000,26,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L8: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+9 more),0,0,-0.05150840198621154,444.44580459594727,1082.1494903564453,0.2717634029686451,120
3240,80000,27,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L10: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L6: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; block4_L4: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.; ... (+4 more),0,0,-0.05510858353227377,415.41475677490234,1083.6969451904297,0.2709263488650322,120
3360,80000,28,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.; block3_exp_n2_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L3: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; block3_exp_n5_L6: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; block3_exp_n5_L9: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; ... (+7 more),0,0,-0.07017791958060116,386.18471908569336,1085.1855773925781,0.316127248108387,120
3480,80000,29,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L4: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L7: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L4: replan FAILED: a prime < q_min=30 could not be fused after 1 successful fusion(s).; ... (+6 more),0,0,-0.06764570251107216,356.9489860534668,1087.2315063476562,0.3119419701397419,120
3600,80000,30,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L10: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L4: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+11 more),0,0,-0.06363975010754075,327.80067443847656,1089.1171264648438,0.3178013488650322,120
3720,80000,31,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L10: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L0: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L1: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n2_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block3_exp_n5_L8: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.; ... (+7 more),0,0,-0.07001617783680558,298.7845344543457,1090.7333984375,0.3953683152794838,120
3840,80000,32,-30.0,-30.0,-30.0,0.0,0.0,0.0,0.0,,,0.0,2.7333333333333334,0,0,0,120,0,0,Rescale_optimizer invalid blocks: block1_mrpc_L11: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L4: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L8: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block1_mrpc_L9: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; ... (+13 more),0,0,-0.06960757868364453,270.11341857910156,1091.7718048095703,0.3484933152794838,120
