family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,256,5,4,0.3909399975091219,0.86328125,0.8603844006255618,61.42817437648773
max_action,Max-Action,256,5,5,0.3769485233351588,0.875,0.8720718232044199,61.62595748901367
max_action,Max-Action,256,10,1,0.37433153577148914,0.87109375,0.8694467504743832,61.431512236595154
max_action,Max-Action,256,10,2,0.3985147075727582,0.85546875,0.853622114168248,61.442628502845764
max_action,Max-Action,256,10,3,0.38195941876620054,0.8671875,0.8652217632228107,61.423614621162415
max_action,Max-Action,256,10,4,0.3909399975091219,0.86328125,0.8603844006255618,61.573997139930725
max_action,Max-Action,256,10,5,0.3769485233351588,0.875,0.8720718232044199,61.54467165470123
max_action,Max-Action,256,10,6,0.3632791368290782,0.8671875,0.8652217632228107,61.49876117706299
max_action,Max-Action,256,10,7,0.3940761177800596,0.85546875,0.8524063663755939,61.401888728141785
max_action,Max-Action,256,10,8,0.3777235960587859,0.8515625,0.8487413194444444,61.81652843952179
max_action,Max-Action,256,10,9,0.38689533108845353,0.86328125,0.8609738550712764,61.388641595840454
max_action,Max-Action,256,10,10,0.35735180927440524,0.85546875,0.8524063663755939,61.462923884391785
random_control,Random-Control,128,5,1,0.3488870123401284,0.8671875,0.865713197417108,42.53855347633362
random_control,Random-Control,128,5,2,0.3232174161821604,0.875,0.8730994152046784,42.52776503562927
random_control,Random-Control,128,5,3,0.3196939593181014,0.890625,0.8889619883040936,42.67027974128723
random_control,Random-Control,128,5,4,0.34857471752911806,0.8671875,0.865713197417108,42.652010917663574
random_control,Random-Control,128,5,5,0.3346309498883784,0.8671875,0.8645948434622468,42.452096939086914
random_control,Random-Control,128,10,1,0.3488870123401284,0.8671875,0.865713197417108,42.435526847839355
random_control,Random-Control,128,10,2,0.3232174161821604,0.875,0.8730994152046784,42.452871799468994
random_control,Random-Control,128,10,3,0.3196939593181014,0.890625,0.8889619883040936,43.48573088645935
random_control,Random-Control,128,10,4,0.34857471752911806,0.8671875,0.865713197417108,42.602986097335815
random_control,Random-Control,128,10,5,0.3346309498883784,0.8671875,0.8645948434622468,42.53590106964111
random_control,Random-Control,128,10,6,0.3314591348171234,0.8984375,0.8973100921424944,42.49238967895508
random_control,Random-Control,128,10,7,0.32618891121819615,0.875,0.8730994152046784,42.424172163009644
random_control,Random-Control,128,10,8,0.328928351867944,0.890625,0.8889619883040936,42.52511262893677
random_control,Random-Control,128,10,9,0.31951693445444107,0.875,0.8740996830884471,42.61705279350281
random_control,Random-Control,128,10,10,0.35306878481060266,0.875,0.871992871992872,42.399972677230835
random_control,Random-Control,200,5,1,0.35131800117400974,0.865,0.8640847054679932,41.161317091721756
random_control,Random-Control,200,5,2,0.3490342649702842,0.865,0.8647054545454546,41.21516301081731
random_control,Random-Control,200,5,3,0.34390166516487414,0.885,0.8847490909090909,41.20580966656025
random_control,Random-Control,200,5,4,0.34056169940875125,0.87,0.8688041042575776,41.237170879657455
random_control,Random-Control,200,5,5,0.3730682232058965,0.865,0.8640847054679932,41.11825502835787
random_control,Random-Control,200,10,1,0.35131800117400974,0.865,0.8640847054679932,41.31715114300068
random_control,Random-Control,200,10,2,0.3490342649702842,0.865,0.8647054545454546,41.17175248953012
random_control,Random-Control,200,10,3,0.34390166516487414,0.885,0.8847490909090909,41.21574988731971
random_control,Random-Control,200,10,4,0.34056169940875125,0.87,0.8688041042575776,41.13155144911546
random_control,Random-Control,200,10,5,0.3730682232058965,0.865,0.8640847054679932,41.14697529719426
random_control,Random-Control,200,10,6,0.32934165172852004,0.87,0.8688041042575776,41.11788823054387
random_control,Random-Control,200,10,7,0.3632940218712275,0.86,0.859378214118747,41.237922815176155
random_control,Random-Control,200,10,8,0.3667509209078092,0.87,0.8694226273959795,41.280618080726036
random_control,Random-Control,200,10,9,0.3554422373955066,0.855,0.8546836363636363,41.19528256929838
random_control,Random-Control,200,10,10,0.36291559556355846,0.86,0.859378214118747,41.124802369337814
random_control,Random-Control,256,5,1,0.37751855701208115,0.8515625,0.8499588105012964,42.92595386505127
random_control,Random-Control,256,5,2,0.4029873642139137,0.84375,0.8414373684974243,42.941778898239136
random_control,Random-Control,256,5,3,0.3748158640228212,0.85546875,0.853622114168248,42.980581521987915
random_control,Random-Control,256,5,4,0.38104713009670377,0.859375,0.8583894282342845,42.93283820152283
random_control,Random-Control,256,5,5,0.373584202490747,0.85546875,0.8541851226787477,42.92774200439453
random_control,Random-Control,256,10,1,0.37751855701208115,0.8515625,0.8499588105012964,42.78042912483215
random_control,Random-Control,256,10,2,0.4029873642139137,0.84375,0.8414373684974243,42.90503263473511
random_control,Random-Control,256,10,3,0.3748158640228212,0.85546875,0.853622114168248,43.01929473876953
random_control,Random-Control,256,10,4,0.38104713009670377,0.859375,0.8583894282342845,43.12606155872345
random_control,Random-Control,256,10,5,0.373584202490747,0.85546875,0.8541851226787477,43.038904666900635
random_control,Random-Control,256,10,6,0.36061635334044695,0.85546875,0.8547194030947672,42.92483627796173
random_control,Random-Control,256,10,7,0.40597832668572664,0.8359375,0.8341650010803803,43.0927574634552
random_control,Random-Control,256,10,8,0.36258482094854116,0.8515625,0.8505221742473003,43.341219425201416
random_control,Random-Control,256,10,9,0.3818059558980167,0.8671875,0.8657526199222126,42.95650124549866
random_control,Random-Control,256,10,10,0.34988044016063213,0.8515625,0.8499588105012964,43.12241077423096
